,學年度,設立別 ,學校類別,學校代碼,學校名稱,弱勢學生助學計畫助學金學生數
,101,公立,一般大學,1,國立政治大學,355
,101,公立,一般大學,2,國立清華大學,421
,101,公立,一般大學,3,國立臺灣大學,581
,101,公立,一般大學,4,國立臺灣師範大學,221
,101,公立,一般大學,5,國立成功大學,762
,101,公立,一般大學,6,國立中興大學,695
,101,公立,一般大學,7,國立交通大學,340
,101,公立,一般大學,8,國立中央大學,423
,101,公立,一般大學,9,國立中山大學,305
,101,公立,一般大學,12,國立臺灣海洋大學,258
,101,公立,一般大學,13,國立中正大學,483
,101,公立,一般大學,14,國立高雄師範大學,102
,101,公立,一般大學,15,國立彰化師範大學,368
,101,公立,一般大學,16,國立陽明大學,105
,101,公立,一般大學,17,國立臺北大學,384
,101,公立,一般大學,18,國立嘉義大學,751
,101,公立,一般大學,19,國立高雄大學,309
,101,公立,一般大學,20,國立東華大學,555
,101,公立,一般大學,21,國立暨南國際大學,302
,101,公立,一般大學,28,國立臺北藝術大學,60
,101,公立,一般大學,29,國立臺灣藝術大學,149
,101,公立,一般大學,30,國立臺東大學,296
,101,公立,一般大學,31,國立宜蘭大學,482
,101,公立,一般大學,32,國立聯合大學,432
,101,公立,一般大學,35,國立臺南藝術大學,78
,101,公立,一般大學,36,國立臺南大學,355
,101,公立,一般大學,37,國立臺北教育大學,89
,101,公立,一般大學,38,國立新竹教育大學,150
,101,公立,一般大學,39,國立臺中教育大學,160
,101,公立,一般大學,40,國立屏東教育大學,250
,101,公立,一般大學,44,國立體育大學,82
,101,公立,一般大學,48,國立金門大學,175
,101,公立,一般大學,49,國立臺灣體育運動大學,211
,101,公立,一般大學,3002,臺北市立大學,208
,101,公立,技專校院,22,國立臺灣科技大學,750
,101,公立,技專校院,23,國立雲林科技大學,855
,101,公立,技專校院,24,國立屏東科技大學,767
,101,公立,技專校院,25,國立臺北科技大學,746
,101,公立,技專校院,26,國立高雄第一科技大學,766
,101,公立,技專校院,27,國立高雄應用科技大學,1473
,101,公立,技專校院,33,國立虎尾科技大學,966
,101,公立,技專校院,34,國立高雄海洋科技大學,676
,101,公立,技專校院,42,國立澎湖科技大學,192
,101,公立,技專校院,43,國立勤益科技大學,1810
,101,公立,技專校院,46,國立臺北護理健康大學,480
,101,公立,技專校院,47,國立高雄餐旅大學,367
,101,公立,技專校院,50,國立臺中科技大學,1539
,101,公立,技專校院,136,國立屏東商業技術學院,343
,101,公立,技專校院,142,國立臺北商業技術學院,568
,101,公立,技專校院,144,國立臺灣戲曲學院,23
,101,公立,技專校院,221,國立臺南護理專科學校,180
,101,公立,技專校院,222,國立臺東專科學校,14
,101,私立,一般大學,1001,東海大學,1006
,101,私立,一般大學,1002,輔仁大學,1086
,101,私立,一般大學,1003,東吳大學,627
,101,私立,一般大學,1004,中原大學,795
,101,私立,一般大學,1005,淡江大學,1190
,101,私立,一般大學,1006,中國文化大學,1114
,101,私立,一般大學,1007,逢甲大學,1398
,101,私立,一般大學,1008,靜宜大學,1023
,101,私立,一般大學,1009,長庚大學,245
,101,私立,一般大學,1010,元智大學,382
,101,私立,一般大學,1011,中華大學,525
,101,私立,一般大學,1012,大葉大學,1008
,101,私立,一般大學,1013,華梵大學,248
,101,私立,一般大學,1014,義守大學,1453
,101,私立,一般大學,1015,世新大學,634
,101,私立,一般大學,1016,銘傳大學,1184
,101,私立,一般大學,1017,實踐大學,1067
,101,私立,一般大學,1019,高雄醫學大學,282
,101,私立,一般大學,1020,南華大學,515
,101,私立,一般大學,1021,真理大學,584
,101,私立,一般大學,1022,大同大學,187
,101,私立,一般大學,1027,慈濟大學,203
,101,私立,一般大學,1028,臺北醫學大學,148
,101,私立,一般大學,1029,中山醫學大學,377
,101,私立,一般大學,1033,長榮大學,837
,101,私立,一般大學,1035,中國醫藥大學,501
,101,私立,一般大學,1039,玄奘大學,213
,101,私立,一般大學,1048,亞洲大學,1148
